0,1,2,3,4,5,6,7,8,9,10,11,12,genre
-113.59882,121.57067,-19.162262,42.36394,-6.362266,18.621931,-13.699734,15.339802,-12.274304,10.970945,-8.326061,8.802088,-3.6699412,blues
-207.52383,123.98514,8.947019,35.86715,2.9095948,21.519472,-8.556513,23.370676,-10.103608,11.899242,-5.558824,5.3778763,-2.2344916,blues
-90.757164,140.44087,-29.084547,31.686693,-13.976547,25.753752,-13.66499,11.634442,-11.778322,9.714756,-13.125314,5.791247,-8.901966,blues
-199.57513,150.0861,5.663404,26.855278,1.7700713,14.232647,-4.827845,9.286853,-0.75612015,8.134435,-3.200026,6.078081,-2.478445,blues
-160.35417,126.20948,-35.581394,22.139256,-32.47355,10.850702,-23.35007,0.4932492,-11.796538,1.2035192,-13.084959,-2.8104992,-6.9344707,blues
-177.80174,118.20316,-17.57063,30.760927,-21.742554,11.919263,-20.734299,3.1852882,-8.580818,-0.9328851,-11.772245,-2.408764,-9.348446,blues
-190.0688,130.27023,-36.362114,33.036213,11.093892,-0.591882,-20.890266,0.27844244,-6.496385,-5.5127354,-7.847404,-3.1243007,-6.6028214,blues
-179.3723,136.44833,-26.662588,39.96545,5.3108945,10.919133,-20.559534,8.503361,-11.349764,-3.4705548,-8.415842,-6.957211,-3.5460427,blues
-121.38979,122.49833,-14.734729,46.122135,-8.179258,20.172466,-19.171894,23.036839,-11.832729,21.154655,-6.7227974,6.989506,-12.730549,blues
-213.26424,115.16476,-11.69817,39.015358,-20.34833,13.082702,-9.1827,9.017152,-14.104312,4.271254,-6.0507803,3.7858355,0.22263548,blues
-173.81046,137.17355,-23.72303,26.979677,-16.67521,4.1947303,-12.571788,5.851669,-2.8769505,-1.1783808,-1.9682406,1.8011796,-3.0069504,blues
-287.9319,124.010765,5.4674478,33.66307,1.091654,14.703699,-4.8811417,8.668892,0.7843316,6.57608,-4.875816,-3.176761,-5.538258,blues
-207.2383,132.82741,-15.45408,60.980972,0.71902615,12.4613285,1.1633852,-1.5329198,-17.895847,8.360363,-2.459651,-0.5846391,0.3722645,blues
-209.80392,124.46476,10.309394,47.016357,6.478227,15.41512,-2.0159419,6.7262187,-21.543222,10.720835,-5.5328465,-2.1957276,-3.0491858,blues
-305.66437,113.07102,12.107334,45.052197,17.734386,14.590071,4.147996,0.22631137,-7.021587,13.646477,8.91421,1.3037986,5.9549785,blues
-238.51962,120.10219,-4.221948,42.294594,5.923822,13.911398,5.350524,1.8952671,-16.928087,12.343145,3.9388995,-1.3966829,0.01302776,blues
